Reading data set time: 1.93s
Remains(15154), time(3.44s), Deleted(1491)
Remains(15153), time(3.07s), Deleted(240)
Remains(15152), time(2.95s), Deleted(1959)
Remains(15151), time(2.92s), Deleted(218)
Remains(15150), time(2.92s), Deleted(1602)
Remains(15149), time(2.92s), Deleted(2056)
Remains(15148), time(2.91s), Deleted(1524)
Remains(15147), time(2.93s), Deleted(369)
Remains(15146), time(2.91s), Deleted(1349)
Remains(15145), time(2.88s), Deleted(2055)
Remains(15144), time(2.84s), Deleted(1957)
Remains(15143), time(2.86s), Deleted(1870)
Remains(15142), time(2.84s), Deleted(1872)
Remains(15141), time(2.84s), Deleted(104)
Remains(15140), time(2.84s), Deleted(1956)
Remains(15139), time(2.86s), Deleted(2053)
Remains(15138), time(2.84s), Deleted(1783)
Remains(15137), time(2.83s), Deleted(1117)
Remains(15136), time(2.89s), Deleted(1014)
Remains(15135), time(2.89s), Deleted(2096)
Remains(15134), time(2.89s), Deleted(1784)
Remains(15133), time(2.87s), Deleted(5809)
Remains(15132), time(2.84s), Deleted(2790)
Remains(15131), time(2.84s), Deleted(1513)
Remains(15130), time(2.82s), Deleted(1960)
Remains(15129), time(2.82s), Deleted(1954)
Remains(15128), time(2.83s), Deleted(78)
Remains(15127), time(2.82s), Deleted(122)
Remains(15126), time(2.86s), Deleted(9574)
Remains(15125), time(2.88s), Deleted(1599)
SVM Training time: 89.7053s
Data prepare + SVM Training time: 92.91s
